	Control_1	Control_2	Control_3	Treatment_1	Treatment_2	Treatment_3
GENE_0846	330.0	160.0	360.0	720.0	650.0	160.0
GENE_0847	330.0	530.0	730.0	520.0	130.0	120.0
GENE_0848	480.0	390.0	310.0	490.0	830.0	1310.0
GENE_0849	210.0	290.0	300.0	700.0	470.0	560.0
GENE_0850	320.0	220.0	370.0	210.0	1280.0	340.0
GENE_0851	220.0	810.0	380.0	240.0	240.0	560.0
GENE_0852	390.0	280.0	340.0	140.72344372049835	580.0	1800.0070830523525
GENE_0853	370.0	800.0	150.0	490.0	1099.5713766234685	1416.5585020970782
GENE_0854	530.0	160.0	480.0	110.0	190.0	350.0
GENE_0855	390.0	230.0	530.0	420.0	830.0	270.0
GENE_0856	570.0	270.0	440.0	640.0	500.0	510.0
GENE_0857	220.0	310.0	220.0	310.0	490.0	510.0
GENE_0858	330.0	590.0	530.0	260.0	670.0	230.0
GENE_0859	720.0	650.0	610.0	650.0	360.0	590.0
GENE_0860	220.0	280.0	460.0	470.0	660.0	590.0
GENE_0861	250.0	620.0	550.0	140.0	520.0	500.0
GENE_0862	510.0	1090.0	560.0	540.0	220.0	360.0
GENE_0863	440.0	390.0	500.0	320.0	670.0	320.0
GENE_0864	230.0	550.0	310.0	460.0	770.0	590.0
GENE_0865	190.0	670.0	720.0	340.0	180.0	54.13455678975717
GENE_0866	1180.0	860.0	360.0	440.0	240.0	480.0
GENE_0867	460.0	490.0	250.0	377.5161811013731	290.0	690.0
GENE_0868	650.0	490.0	230.0	810.0	530.0	310.0
GENE_0869	430.0	470.0	410.0	668.6424279137757	580.0	570.0
GENE_0870	630.0	250.0	900.0	1200.0	982.6468026238961	550.0
GENE_0871	720.0	80.0	440.0	420.0	890.0	310.0
GENE_0872	600.0	190.0	290.0	370.0	430.0	190.0
GENE_0873	650.0	190.0	610.0	94.93352343443942	300.0	500.0
GENE_0874	720.0	50.0	680.0	370.0	150.0	190.0
GENE_0875	450.0	820.0	440.0	200.0	822.0330424612168	320.0
GENE_0876	450.0	400.0	330.0	330.0	513.3561972697296	290.0
GENE_0877	280.0	470.0	560.0	420.0	180.0	330.0
GENE_0878	750.0	590.0	260.0	792.280471175705	540.0	480.0
GENE_0879	120.0	590.0	390.0	430.0	330.0	300.0
GENE_0880	770.0	280.0	250.0	170.0	540.0	790.1676527594364
GENE_0881	670.0	90.0	580.0	220.0	44.56048811331365	1014.1520151862047
GENE_0882	530.0	770.0	540.0	330.0	530.0	662.3465691959649
GENE_0883	500.0	320.0	400.0	480.0	280.0	510.0
GENE_0884	260.0	580.0	580.0	254.16672483151248	310.0	1770.3487069253122
GENE_0885	200.0	380.0	460.0	440.0	460.0	200.0
GENE_0886	600.0	320.0	350.0	460.0	990.0	180.0
GENE_0887	420.0	360.0	210.0	882.3190260240708	500.0	270.0
GENE_0888	180.0	650.0	590.0	410.0	570.0	690.0
GENE_0889	230.0	250.0	660.0	230.0	190.0	540.0
GENE_0890	510.0	560.0	700.0	510.0	450.0	410.0
GENE_0891	700.0	370.0	530.0	132.8616492668417	230.0	360.0
GENE_0892	170.0	350.0	260.0	380.0	550.0	390.0
GENE_0893	210.0	220.0	680.0	230.0	880.0	410.0
GENE_0894	430.0	560.0	140.0	640.0	470.0	310.0
GENE_0895	250.0	370.0	970.0	210.0	230.0	370.0
GENE_0896	750.0	310.0	330.0	252.8820520275809	810.0	200.0
GENE_0897	370.0	350.0	280.0	560.0	570.0	350.0
GENE_0898	360.0	270.0	580.0	210.0	600.0	350.0
GENE_0899	300.0	340.0	380.0	380.0	590.0	330.0
GENE_0900	190.0	490.0	750.0	190.0	250.0	660.0
GENE_0901	440.0	760.0	530.0	550.0	1160.0	1807.1895322769174
GENE_0902	370.0	580.0	150.0	580.0	80.0	490.0
GENE_0903	730.0	290.0	580.0	124.93821635253391	330.0	1101.5237157870347
GENE_0904	770.0	230.0	510.0	870.0	450.0	2172.5398567359307
GENE_0905	1020.0	420.0	300.0	310.0	370.0	420.0
GENE_0906	710.0	410.0	200.0	690.0	330.0	650.0
GENE_0907	560.0	890.0	480.0	260.0	1258.8528875626573	600.0
GENE_0908	430.0	540.0	730.0	190.0	360.0	180.0
GENE_0909	400.0	170.0	300.0	60.0	70.0	210.0
GENE_0910	880.0	310.0	360.0	1360.0	470.0	67.68415304774881
GENE_0911	390.0	290.0	500.0	570.0	690.0	129.78210510028066
GENE_0912	380.0	350.0	400.0	550.0	430.0	390.0
GENE_0913	560.0	330.0	310.0	190.0	380.0	350.0
GENE_0914	400.0	480.0	370.0	390.0	330.0	610.0
GENE_0915	730.0	220.0	320.0	560.0	1690.4159963409136	230.0
GENE_0916	260.0	350.0	550.0	530.0	860.0	800.0
GENE_0917	370.0	300.0	440.0	670.0	410.0	380.0
GENE_0918	470.0	300.0	450.0	309.9747618181003	170.0	300.0
GENE_0919	530.0	330.0	710.0	390.0	870.0	700.0
GENE_0920	680.0	310.0	690.0	550.0	520.0	1147.075049443498
GENE_0921	460.0	840.0	420.0	660.0	460.0	290.0
GENE_0922	260.0	360.0	300.0	150.0	1444.3749131671755	550.0
GENE_0923	560.0	270.0	240.0	80.0	130.0	250.0
GENE_0924	190.0	830.0	620.0	420.0	550.0	410.0
GENE_0925	390.0	140.0	620.0	340.0	685.683532924924	430.0
GENE_0926	250.0	530.0	400.0	815.1237502632334	180.0	550.0
GENE_0927	860.0	450.0	350.0	370.0	680.0	300.0
GENE_0928	760.0	680.0	590.0	450.0	50.0	480.65540237700253
GENE_0929	530.0	620.0	860.0	200.0	889.1216962888736	570.0
GENE_0930	160.0	630.0	500.0	440.0	190.0	360.0
GENE_0931	350.0	380.0	280.0	80.0	150.0	274.2886853685349
GENE_0932	160.0	300.0	600.0	580.0	340.0	330.0
GENE_0933	680.0	560.0	190.0	1140.0	450.0	792.4284239283442
GENE_0934	710.0	330.0	500.0	1985.8626596146044	430.0	550.0
GENE_0935	760.0	280.0	640.0	250.0	1020.0	300.0
GENE_0936	480.0	250.0	500.0	280.0	200.0	530.0
GENE_0937	650.0	460.0	280.0	60.60096910915379	480.0	280.0
GENE_0938	880.0	550.0	150.0	170.0	180.0	730.0
GENE_0939	410.0	230.0	460.0	300.0	240.0	440.0
GENE_0940	360.0	410.0	140.0	400.0	470.0	83.69063164118688
GENE_0941	720.0	780.0	170.0	430.0	240.0	350.0
GENE_0942	340.0	240.0	220.0	290.0	390.0	1186.9382158610829
GENE_0943	290.0	880.0	360.0	919.381123956669	550.0	110.0
GENE_0944	550.0	440.0	1080.0	350.0	270.0	350.0
GENE_0945	310.0	330.0	540.0	1070.0	240.0	739.9722312125231
GENE_0946	240.0	360.0	870.0	430.0	330.0	270.0
GENE_0947	410.0	210.0	260.0	890.0	740.0	76.33704974407885
GENE_0948	260.0	330.0	290.0	320.0	610.0	610.0
GENE_0949	690.0	570.0	530.0	690.0	250.0	808.8979701320551
GENE_0950	240.0	290.0	470.0	660.0	230.0	380.0
GENE_0951	330.0	750.0	380.0	390.0	530.0	440.0
GENE_0952	180.0	510.0	320.0	490.0	230.0	220.0
GENE_0953	550.0	400.0	780.0	1560.3546514367076	355.04164241636096	350.0
GENE_0954	450.0	520.0	250.0	810.0	200.0	280.0
GENE_0955	650.0	280.0	890.0	350.0	470.0	190.0
GENE_0956	500.0	140.0	490.0	560.0	260.0	652.5315957373597
GENE_0957	410.0	440.0	320.0	230.0	138.62257367436067	170.0
GENE_0958	400.0	410.0	150.0	450.0	320.0	510.0
GENE_0959	1020.0	430.0	370.0	370.0	660.0	370.0
GENE_0960	640.0	230.0	470.0	200.0	110.0	760.0
GENE_0961	350.0	200.0	940.0	480.0	610.0	50.0
GENE_0962	290.0	510.0	120.0	670.0	300.0	1066.0635871168715
GENE_0963	980.0	670.0	540.0	960.0	570.0	157.29400170185983
GENE_0964	160.0	420.0	260.0	300.0	1023.8763696893823	460.0
GENE_0965	1040.0	660.0	650.0	2373.2144173350493	1674.3346623476893	450.0
GENE_0966	400.0	770.0	390.0	310.0	580.0	630.0
GENE_0967	390.0	1040.0	190.0	130.0	1570.0	670.0
GENE_0968	420.0	410.0	480.0	420.0	420.0	480.0
GENE_0969	620.0	440.0	690.0	550.0	240.0	1121.3255048307383
GENE_0970	600.0	510.0	270.0	700.0	550.0	490.0
GENE_0971	240.0	660.0	330.0	410.0	390.0	330.0
GENE_0972	710.0	320.0	560.0	90.0	450.0	280.0
GENE_0973	480.0	260.0	340.0	380.0	490.0	1857.8789327649647
GENE_0974	470.0	190.0	520.0	310.0	230.0	460.0
GENE_0975	350.0	660.0	530.0	180.0	440.0	310.0
GENE_0976	180.0	650.0	250.0	790.0	540.0	540.0
GENE_0977	450.0	840.0	940.0	270.0	900.0	170.0
GENE_0978	400.0	380.0	720.0	250.0	360.0	380.0
GENE_0979	660.0	490.0	420.0	550.0	1140.0	600.0
GENE_0980	540.0	830.0	210.0	580.0	430.0	1071.155954415438
GENE_0981	310.0	490.0	660.0	380.0	1328.8186136224003	240.0
GENE_0982	530.0	270.0	350.0	330.0	1018.1546638645585	430.0
GENE_0983	450.0	470.0	830.0	150.0	430.0	590.0
GENE_0984	410.0	400.0	430.0	600.0	730.0	510.0
GENE_0985	500.0	750.0	180.0	640.0	410.0	430.0
GENE_0986	700.0	380.0	870.0	550.0	330.0	570.0
GENE_0987	620.0	200.0	410.0	450.0	350.0	310.0
GENE_0988	570.0	420.0	360.0	100.0	890.0	400.0
GENE_0989	400.0	170.0	560.0	540.0	1098.5877948198763	610.0
GENE_0990	530.0	150.0	110.0	400.0	650.0	1210.0
GENE_0991	230.0	580.0	380.0	640.0	500.0	730.0
GENE_0992	210.0	660.0	320.0	350.0	680.0	830.0
GENE_0993	480.0	260.0	230.0	450.0	980.0	810.0
GENE_0994	420.0	630.0	200.0	610.0	960.0	460.0
GENE_0995	1200.0	420.0	440.0	420.0	720.0	570.0
GENE_0996	1020.0	370.0	350.0	440.0	630.0	360.0
GENE_0997	330.0	350.0	70.0	510.0	300.0	160.0
GENE_0998	490.0	510.0	370.0	940.0	360.0	280.0
GENE_0999	200.0	600.0	420.0	660.0	520.0	550.0
GENE_1000	380.0	240.0	510.0	460.0	630.0	440.0
GENE_1001	390.0	250.0	770.0	350.0	560.0	250.0
GENE_1002	530.0	890.0	460.0	187.36300244099365	1270.0	380.0
GENE_1003	640.0	300.0	470.0	520.0	450.0	330.0
GENE_1004	700.0	600.0	250.0	600.0	746.6577571222208	640.0
GENE_1005	380.0	690.0	330.0	2194.6361687341696	1321.026404666131	350.0
GENE_1006	360.0	540.0	280.0	400.0	1050.0	510.0
GENE_1007	370.0	180.0	360.0	230.0	640.0	750.0
GENE_1008	600.0	360.0	650.0	520.0	500.0	880.0
GENE_1009	220.0	670.0	560.0	330.0	80.0	400.0
GENE_1010	150.0	490.0	200.0	310.0	850.0	310.0
GENE_1011	520.0	560.0	400.0	350.0	600.0	550.0
GENE_1012	360.0	580.0	350.0	640.0	530.0	367.90009054170383
GENE_1013	280.0	340.0	460.0	390.0	1619.7167199643422	237.9875448850607
GENE_1014	620.0	320.0	300.0	300.0	210.0	720.0
GENE_1015	630.0	210.0	470.0	290.0	2013.4055394067855	400.0
GENE_1016	360.0	480.0	320.0	670.0	792.3015668868975	485.5255714104568
GENE_1017	340.0	660.0	640.0	317.55972399715216	790.0	540.0
GENE_1018	170.0	250.0	260.0	480.0	590.0	300.0
GENE_1019	520.0	410.0	830.0	590.0	1437.285498852403	380.0
GENE_1020	170.0	310.0	320.0	570.0	200.0	1012.8542928936918
GENE_1021	320.0	260.0	910.0	640.0	230.0	1298.024687447587
GENE_1022	330.0	190.0	510.0	230.0	780.0	270.0
GENE_1023	450.0	150.0	300.0	430.0	230.0	1904.1294085317613
GENE_1024	380.0	330.0	650.0	260.0	130.0	254.33785049378685
GENE_1025	570.0	570.0	150.0	620.0	1250.8193252260887	440.0
GENE_1026	650.0	470.0	550.0	570.0	610.0	310.0
GENE_1027	490.0	570.0	260.0	150.0	530.0	520.0
GENE_1028	600.0	420.0	320.0	480.0	510.0	140.28445447095507
GENE_1029	450.0	450.0	430.0	548.4559710400787	560.0	520.0
GENE_1030	910.0	500.0	630.0	340.0	260.0	550.0
GENE_1031	680.0	540.0	650.0	220.0	370.0	700.0
GENE_1032	770.0	330.0	210.0	550.0	330.0	670.0
GENE_1033	250.0	550.0	590.0	520.0	340.0	740.0
GENE_1034	260.0	820.0	260.0	240.0	450.0	787.5634314630967
GENE_1035	300.0	300.0	210.0	820.0	670.0	660.0
GENE_1036	500.0	420.0	400.0	690.0	190.0	190.0
GENE_1037	780.0	900.0	630.0	250.0	2141.00779716998	280.0
GENE_1038	330.0	150.0	320.0	154.9419980417705	250.0	380.0
GENE_1039	510.0	650.0	690.0	230.0	590.0	630.0
GENE_1040	260.0	340.0	690.0	590.0	370.0	570.0
GENE_1041	540.0	590.0	260.0	750.0	209.49817946117503	310.0
GENE_1042	130.0	760.0	380.0	1010.0	977.1532705013374	938.2317071076696
GENE_1043	360.0	770.0	360.0	1256.0123614395445	530.0	280.0
GENE_1044	470.0	260.0	150.0	780.0	580.0	1220.0
GENE_1045	620.0	420.0	290.0	1603.0762909675368	610.0	660.0
GENE_1046	910.0	560.0	260.0	390.0	610.0	157.92126880680797
GENE_1047	210.0	340.0	300.0	450.0	260.0	1630.6006440822514
GENE_1048	240.0	540.0	360.0	370.0	280.0	390.0
GENE_1049	630.0	230.0	580.0	410.0	750.0	1002.1790033166018
GENE_1050	680.0	300.0	280.0	665.3431902405134	467.24882423978465	560.0
GENE_1051	320.0	550.0	430.0	210.0	380.0	560.0
GENE_1052	540.0	440.0	340.0	230.0	810.0	520.0
GENE_1053	570.0	240.0	130.0	161.15132938330015	1200.0	370.0
GENE_1054	460.0	440.0	270.0	140.0	430.0	130.0
GENE_1055	400.0	510.0	610.0	470.0	1460.3556147562301	57.15921421859301
GENE_1056	490.0	340.0	480.0	560.0	560.0	360.0
GENE_1057	820.0	410.0	220.0	390.0	480.0	130.0
GENE_1058	520.0	480.0	490.0	650.0	490.0	970.0
GENE_1059	520.0	320.0	420.0	400.0	350.0	270.0
GENE_1060	290.0	200.0	610.0	860.0	480.0	560.0
GENE_1061	340.0	400.0	630.0	607.2432585756602	216.53525011719162	520.0
GENE_1062	340.0	190.0	420.0	500.0	580.0	460.0
GENE_1063	600.0	830.0	530.0	660.0	160.0	440.0
GENE_1064	450.0	370.0	190.0	130.0	410.0	610.0
GENE_1065	190.0	210.0	550.0	300.0	550.0	550.0
GENE_1066	750.0	520.0	230.0	350.0	420.0	380.0
GENE_1067	740.0	180.0	380.0	370.0	36.56836596963454	560.0
GENE_1068	850.0	670.0	460.0	220.0	260.0	280.0
GENE_1069	290.0	400.0	460.0	400.0	320.0	510.0
GENE_1070	160.0	370.0	380.0	183.65084070215786	260.0	470.0
GENE_1071	380.0	220.0	500.0	620.0	860.0	350.0
GENE_1072	60.0	330.0	400.0	340.0	230.0	420.0
GENE_1073	230.0	230.0	230.0	310.0	730.0	260.0
GENE_1074	670.0	420.0	400.0	250.0	980.0	560.0
GENE_1075	390.0	570.0	430.0	470.0	400.0	390.0
GENE_1076	200.0	190.0	210.0	590.0	440.0	470.0
GENE_1077	300.0	690.0	280.0	360.0	470.0	470.0
GENE_1078	240.0	320.0	400.0	810.0	590.0	460.0
GENE_1079	590.0	530.0	340.0	430.0	820.0	820.0
GENE_1080	620.0	590.0	250.0	170.0	400.0	260.0
GENE_1081	490.0	610.0	290.0	880.0	260.0	350.0
GENE_1082	400.0	420.0	260.0	630.0	460.0	440.0
GENE_1083	310.0	730.0	210.0	410.0	460.0	770.0
GENE_1084	460.0	240.0	670.0	760.0	1350.7186235944116	380.0
GENE_1085	680.0	350.0	300.0	190.0	730.0	300.0
GENE_1086	430.0	300.0	530.0	780.0	688.4579591003296	931.7650292127549
GENE_1087	660.0	670.0	400.0	460.0	600.0	960.0
GENE_1088	260.0	360.0	490.0	210.0	1906.365031054366	240.0
GENE_1089	310.0	410.0	730.0	380.0	290.0	550.0
GENE_1090	350.0	1000.0	260.0	190.0	220.0	290.0
GENE_1091	250.0	180.0	260.0	620.0	130.351133616369	690.0
GENE_1092	410.0	420.0	760.0	960.0	610.0	730.0
GENE_1093	530.0	260.0	700.0	2222.768989472385	500.0	380.0
GENE_1094	570.0	610.0	370.0	350.0	780.0	780.0
GENE_1095	440.0	430.0	330.0	340.0	1150.0	430.0
GENE_1096	280.0	340.0	180.0	160.0	1090.0	714.9117960257947
GENE_1097	220.0	460.0	290.0	100.0	290.0	130.0
GENE_1098	840.0	310.0	200.0	137.15052917666844	787.1873900320044	660.0
GENE_1099	430.0	530.0	540.0	590.0	830.0	430.0
GENE_1100	200.0	360.0	400.0	470.0	300.0	590.0
GENE_1101	970.0	400.0	500.0	430.0	1243.9121233692745	1110.0
GENE_1102	240.0	390.0	550.0	280.0	390.0	880.0
GENE_1103	180.0	650.0	450.0	520.0	420.0	310.0
GENE_1104	840.0	230.0	470.0	690.0	510.0	330.0
GENE_1105	330.0	820.0	360.0	600.0	540.0	380.0
GENE_1106	450.0	460.0	410.0	230.0	884.135172560786	1020.0
GENE_1107	430.0	670.0	600.0	700.0	270.0	650.0
GENE_1108	430.0	350.0	1080.0	380.0	240.0	370.0
GENE_1109	670.0	220.0	320.0	760.0	430.0	460.0
GENE_1110	90.0	450.0	270.0	620.0	330.0	410.0
GENE_1111	730.0	480.0	560.0	450.0	170.0	240.0
GENE_1112	600.0	930.0	250.0	380.0	520.0	210.0
GENE_1113	460.0	500.0	350.0	330.0	80.0	761.6417565712974
GENE_1114	430.0	470.0	310.0	1309.4134488689538	360.0	170.0
GENE_1115	330.0	650.0	330.0	350.0	370.0	1620.5177179609004
GENE_1116	300.0	450.0	200.0	760.0	310.0	590.0
GENE_1117	560.0	570.0	310.0	370.0	320.0	260.0
GENE_1118	390.0	650.0	550.0	170.0	170.0	269.67921304518995
GENE_1119	310.0	310.0	580.0	450.0	210.0	218.25681794936884
GENE_1120	150.0	500.0	160.0	270.0	590.0	460.0
GENE_1121	1150.0	130.0	620.0	400.0	540.0	480.0
GENE_1122	90.0	460.0	270.0	560.0	680.0	370.0
GENE_1123	460.0	130.0	360.0	300.0	430.0	910.0
GENE_1124	100.0	110.0	310.0	337.02399637398776	790.0	390.0
GENE_1125	570.0	450.0	270.0	640.0	240.0	850.0
GENE_1126	480.0	240.0	200.0	260.0	780.0	350.0
GENE_1127	460.0	830.0	130.0	230.0	250.0	340.0
GENE_1128	320.0	280.0	180.0	310.0	400.0	490.0
GENE_1129	160.0	230.0	1280.0	590.0	280.0	630.0
GENE_1130	1130.0	340.0	350.0	610.0	490.0	640.0
GENE_1131	390.0	390.0	1010.0	190.0	550.0	1216.737760894855
GENE_1132	340.0	260.0	460.0	370.0	320.0	564.6091392642722
GENE_1133	280.0	290.0	330.0	220.0	180.0	190.0
GENE_1134	590.0	440.0	180.0	160.0	250.0	1410.0
GENE_1135	320.0	200.0	610.0	400.0	350.0	190.0
GENE_1136	350.0	380.0	380.0	160.0	120.0	180.0
GENE_1137	540.0	530.0	220.0	410.0	620.0	800.0
GENE_1138	270.0	510.0	270.0	570.0	370.0	600.0
GENE_1139	330.0	520.0	830.0	1030.0	210.0	630.0
GENE_1140	170.0	630.0	290.0	260.0	580.0	651.735220924964
GENE_1141	190.0	350.0	590.0	1014.5289810884514	240.0	450.0
GENE_1142	180.0	240.0	190.0	320.0	630.0	540.0
GENE_1143	210.0	200.0	620.0	390.0	460.0	660.0
GENE_1144	520.0	750.0	400.0	410.0	410.0	370.0
GENE_1145	320.0	220.0	430.0	435.0547938646544	1090.0	333.79036667457365
GENE_1146	390.0	800.0	1060.0	380.0	260.0	270.0
GENE_1147	370.0	800.0	430.0	530.0	260.0	360.0
GENE_1148	230.0	1320.0	510.0	470.0	810.0	540.0
GENE_1149	380.0	1370.0	520.0	210.0	1043.0007852728913	310.0
GENE_1150	290.0	500.0	380.0	170.0	450.0	90.0
GENE_1151	250.0	230.0	310.0	290.0	422.20228506210196	340.0
GENE_1152	550.0	330.0	770.0	770.4126036108894	240.0	210.0
GENE_1153	370.0	520.0	550.0	1018.8421750104814	340.0	580.0
GENE_1154	900.0	390.0	620.0	230.0	1169.8200709464834	360.0
GENE_1155	390.0	520.0	260.0	510.0	270.0	220.0
GENE_1156	200.0	130.0	980.0	360.0	570.0	390.0
GENE_1157	230.0	220.0	210.0	360.0	410.00870148713057	369.79673895354597
GENE_1158	560.0	170.0	260.0	1699.088705900695	220.0	520.0
GENE_1159	810.0	500.0	200.0	520.0	540.0	470.0
GENE_1160	500.0	240.0	310.0	560.0	550.0	1416.8707124671664
GENE_1161	930.0	810.0	320.0	480.0	40.0	240.0
GENE_1162	430.0	390.0	470.0	420.0	70.0	370.0
GENE_1163	930.0	670.0	540.0	410.0	570.0	340.0
GENE_1164	160.0	280.0	150.0	710.0	630.0	190.0
GENE_1165	320.0	430.0	540.0	300.0	660.0	880.0
GENE_1166	690.0	830.0	400.0	370.0	1079.1711645511475	380.0
GENE_1167	390.0	670.0	390.0	430.0	80.0	430.0
GENE_1168	540.0	440.0	430.0	179.26606503667537	470.0	330.0
GENE_1169	100.0	330.0	380.0	640.0	180.0	500.0
GENE_1170	340.0	430.0	390.0	650.0	520.0	700.0
GENE_1171	750.0	430.0	460.0	180.0	490.0	1794.8497300213442
GENE_1172	470.0	560.0	690.0	370.0	530.0	450.0
GENE_1173	350.0	640.0	270.0	410.0	790.0	490.0
GENE_1174	230.0	620.0	280.0	400.0	269.57475392440097	49.257142942164194
GENE_1175	690.0	400.0	480.0	450.0	540.0	230.0
GENE_1176	870.0	460.0	880.0	270.0	858.167523737212	449.2059022921587
GENE_1177	700.0	260.0	270.0	350.0	260.0	580.0
GENE_1178	340.0	450.0	720.0	796.8262937260432	280.0	90.0
GENE_1179	930.0	350.0	320.0	620.0	790.0	970.0
GENE_1180	270.0	490.0	100.0	510.0	212.91113770604707	670.0
GENE_1181	460.0	340.0	720.0	860.0	310.0	790.0
GENE_1182	190.0	290.0	570.0	470.0	850.0	440.0
GENE_1183	650.0	410.0	340.0	260.0	320.0	300.0
GENE_1184	280.0	230.0	300.0	500.0	1010.0	916.0178500171182
GENE_1185	570.0	160.0	70.0	430.0	260.0	130.0
GENE_1186	380.0	270.0	380.0	410.0	350.0	715.8966606330495
GENE_1187	220.0	510.0	380.0	540.0	430.0	240.0
GENE_1188	390.0	370.0	730.0	65.16990616862404	1070.0	410.0
GENE_1189	710.0	440.0	390.0	680.0	490.0	620.0
GENE_1190	350.0	570.0	720.0	450.0	580.0	380.0
GENE_1191	390.0	750.0	430.0	790.0	330.0	780.0
GENE_1192	700.0	860.0	400.0	430.0	799.4267093802441	230.0
GENE_1193	190.0	820.0	670.0	250.0	130.0	350.0
GENE_1194	300.0	310.0	1050.0	560.0	740.0	660.0
GENE_1195	380.0	290.0	500.0	620.0	2370.371496180401	2799.5180831991934
GENE_1196	960.0	190.0	400.0	350.0	590.0	540.0
GENE_1197	660.0	370.0	490.0	210.0	480.0	1010.0
GENE_1198	480.0	170.0	460.0	410.0	310.0	550.0
GENE_1199	340.0	60.0	330.0	580.0	410.0	700.0
GENE_1200	510.0	840.0	650.0	336.8434988817829	210.0	250.0
GENE_1201	520.0	380.0	200.0	440.0	369.83601824622303	330.0
GENE_1202	250.0	340.0	310.0	230.0	660.0	420.0
GENE_1203	520.0	470.0	230.0	380.0	230.0	480.0
GENE_1204	420.0	720.0	640.0	470.0	380.0	885.4427038586932
GENE_1205	310.0	240.0	430.0	430.0	370.0	460.0
GENE_1206	440.0	230.0	620.0	975.3306632420473	400.0	500.0
GENE_1207	480.0	420.0	310.0	390.0	390.0	320.0
GENE_1208	630.0	1120.0	1000.0	390.0	630.0	930.0
GENE_1209	260.0	300.0	460.0	460.0	786.918953360856	930.0
GENE_1210	790.0	720.0	380.0	380.0	600.0	460.0
GENE_1211	180.0	470.0	220.0	190.0	1096.8250853510576	120.0
GENE_1212	550.0	140.0	250.0	470.0	190.0	850.0
GENE_1213	430.0	510.0	420.0	350.0	500.0	130.0
GENE_1214	490.0	210.0	500.0	610.0	500.0	370.0
GENE_1215	430.0	370.0	580.0	909.3834192721291	310.0	410.0
GENE_1216	830.0	340.0	210.0	740.0	250.0	410.0
GENE_1217	330.0	270.0	370.0	450.0	810.3402051372625	450.0
GENE_1218	420.0	520.0	330.0	750.0	490.0	520.0
GENE_1219	420.0	480.0	550.0	400.0	491.7164471977222	710.0
GENE_1220	860.0	500.0	530.0	320.0	550.0	310.0
GENE_1221	190.0	210.0	510.0	180.0	270.0	580.0
GENE_1222	330.0	1010.0	830.0	723.1959946788199	250.0	1050.0
GENE_1223	630.0	720.0	520.0	270.0	260.0	197.63192247030233
GENE_1224	510.0	400.0	340.0	810.0	290.0	640.0
GENE_1225	380.0	450.0	270.0	1341.675147446991	206.01427755585513	150.0
GENE_1226	360.0	560.0	290.0	450.0	650.0	455.6123230831895
GENE_1227	630.0	590.0	380.0	380.0	972.0524511203303	752.2583990779225
GENE_1228	670.0	600.0	150.0	780.9930378554141	240.0	380.0
GENE_1229	490.0	350.0	260.0	740.0	970.0	370.0
GENE_1230	710.0	390.0	460.0	510.0	530.0	1261.2055914934965
GENE_1231	820.0	580.0	640.0	250.0	730.0	530.0
GENE_1232	380.0	700.0	830.0	220.0	330.0	230.0
GENE_1233	150.0	250.0	200.0	35.72732670126747	520.0	510.0
GENE_1234	810.0	530.0	380.0	583.018610182434	340.0	960.0
GENE_1235	260.0	650.0	680.0	833.8817947437777	440.0	690.0
GENE_1236	710.0	480.0	470.0	230.0	370.0	710.0
GENE_1237	420.0	610.0	420.0	170.0	490.0	217.05825701636257
GENE_1238	370.0	560.0	330.0	510.0	470.0	100.0
GENE_1239	220.0	890.0	80.0	260.0	570.0	340.0
GENE_1240	450.0	390.0	310.0	450.0	1150.0	714.5933144712085
GENE_1241	260.0	370.0	620.0	240.0	140.0	420.0
GENE_1242	920.0	720.0	760.0	720.0	330.0	510.0
GENE_1243	860.0	490.0	620.0	510.0	1573.2593578329827	160.0
GENE_1244	320.0	450.0	440.0	620.0	430.0	350.0
GENE_1245	880.0	400.0	180.0	340.0	110.0	280.0
GENE_1246	560.0	430.0	580.0	780.0	170.0	780.0
GENE_1247	280.0	600.0	1070.0	420.0	190.0	720.0
GENE_1248	550.0	320.0	640.0	310.0	290.0	500.0
GENE_1249	170.0	210.0	370.0	300.0	134.81097263891763	410.0
GENE_1250	690.0	460.0	330.0	1060.0	540.0	390.0
GENE_1251	510.0	450.0	620.0	300.0	500.0	370.0
GENE_1252	870.0	710.0	310.0	570.0	790.0	460.0
GENE_1253	290.0	140.0	200.0	400.0	330.0	360.0
GENE_1254	260.0	490.0	510.0	430.0	360.0	580.0
GENE_1255	420.0	270.0	430.0	600.0	410.0	220.0
GENE_1256	500.0	470.0	410.0	460.0	180.0	390.0
GENE_1257	700.0	230.0	450.0	930.0	549.2542134908717	550.0
GENE_1258	360.0	390.0	210.0	300.0	2077.8062824488657	421.90301385601236
GENE_1259	590.0	130.0	450.0	710.0	396.67566604692155	120.0
GENE_1260	700.0	300.0	480.0	150.0	220.0	270.0
GENE_1261	470.0	600.0	240.0	270.0	320.0	240.0
GENE_1262	120.0	1020.0	720.0	160.0	330.0	182.83474561819602
GENE_1263	460.0	550.0	380.0	430.0	420.0	340.0
GENE_1264	380.0	620.0	210.0	260.0	250.0	630.0
GENE_1265	280.0	280.0	330.0	350.0	500.0	1060.0
GENE_1266	340.0	440.0	580.0	294.7135761597851	480.0	410.0
GENE_1267	450.0	620.0	220.0	350.0	750.0	140.0
GENE_1268	350.0	580.0	470.0	350.0	200.0	540.0
GENE_1269	450.0	160.0	460.0	282.1384479649606	270.0	420.0
